COLLAGE,BRANCH,CATEGORIES,RANKING,,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2024 - MOCK ALLOTMENT ROUND ( GENERAL ),,,,,,,,,,,,,,,,,,,,,
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,2AG,475,,1,E001,University of Visvesvaraya College of Engineering,,,,,Bangalore ( PUBLIC UNIV. ),,,,,,,,,,,,,,,,,,,
R. V. College of Engineering,CE Civil,SCR,0,,EC Electronics,,998,--,--,620,--,--,--,--,--,--,--,--,731,--,--,522,679,--,1356,--,1777,793,--,--,
R. V. College of Engineering,CE Civil,STG,3856,,EE Electrical,,--,--,--,728,--,--,--,--,--,--,--,--,--,--,--,540,--,1184,840,--,--,--,--,--,
R. V. College of Engineering,CS Computers,2AG,28,,EI Elec. Inst. Engg,,--,--,--,3951,--,--,--,--,--,--,--,--,--,--,--,2767G5,--,--,10363,--,--,--,--,--,
R. V. College of Engineering,CS Computers,GM,15,,ET Elec. Telecommn. Engg.,,--,--,--,--,--,3894,--,--,--,--,--,--,--,--,--,2984,--,--,10890,--,--,--,--,--,
R. V. College of Engineering,CS Computers,SCG,61,,IM Ind. Engg. Mgmt.,,--,--,--,--,--,--,--,--,--,4807,--,--,--,--,--,3052,--,--,--,--,4944,--,--,--,
R. V. College of Engineering,CS Computers,GMR,132,,ME Mechanical,,--,--,--,1478,--,--,--,--,--,--,--,--,1940,--,2709 922G55,--,--,2727,5357,--,3761,--,--,,
R. V. College of Engineering,CS Computers,SCR,826,,5,E005,R. V. College of Engineering,Bangalore,,,,,,,,,,,,,,,,,,,,,,,
R. V. College of Engineering,CS Computers,STG,235,,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
Dayananda Sagar College of Engineering,AI Artificial Intelligence,2AG,695,,AI Artificial Intelligence,,1224,--,--,147,--,--,--,--,--,--,--,--,124,--,--,110,--,--,641,--,--,1084,2944,3356,
Dayananda Sagar College of Engineering,AI Artificial Intelligence,GM,684,,BT Bio Technology,,--,--,--,15094,--,--,--,--,--,--,--,--,--,--,--,10129,--,--,--,--,--,--,--,--,
Dayananda Sagar College of Engineering,AI Artificial Intelligence,SCG,1640,,CE Civil,,--,--,--,--,4736,--,1789,--,--,--,--,--,--,--,--,234,--,--,--,--,--,3856,--,--,
Dayananda Sagar College of Engineering,AI Artificial Intelligence,GMR,1124,,CH Chemical,,9203,--,--,--,--,--,--,--,--,3812,--,--,--,--,--,195,--,--,5999,--,--,--,--,--,
Dayananda Sagar College of Engineering,AI Artificial Intelligence,SCR,0,,CS Computers,,168,--,--,28,--,150,16,--,--,20,--,--,45,--,--,15,77,132,61,--,826,235,--,--,
Dayananda Sagar College of Engineering,AI Artificial Intelligence,STG,0,,CY CS- Cyber Security,,--,--,--,--,--,--,421,--,3509,247,--,--,--,--,--,162,--,--,--,--,--,--,--,--,
Dayananda Sagar College of Engineering,CE Civil,2AG,2403,,DS Comp. Sc. Engg- Data Sc.,,--,--,1816,--,--,--,--,--,--,--,--,--,--,--,--,93,--,--,818,--,--,298,--,--,
Dayananda Sagar College of Engineering,CE Civil,GM,1531,,EC Electronics,,--,--,--,138,--,--,89,--,--,--,--,--,166,--,--,57,188,231,158,--,763,345,--,--,
Dayananda Sagar College of Engineering,CE Civil,SCG,2916,,EE Electrical,,--,--,--,100,--,214,--,--,--,--,--,--,--,--,--,84,--,--,123,--,--,--,--,--,
Dayananda Sagar College of Engineering,CE Civil,GMR,1800,,EI Elec. Inst. Engg,,--,--,--,1677,--,--,--,--,--,1055,--,--,--,--,1520,657,--,--,1046,--,--,--,--,--,
Dayananda Sagar College of Engineering,CE Civil,SCR,3524,,ET Elec. Telecommn. Engg.,,--,--,--,1507,--,--,--,--,--,--,--,4257,--,--,--,645,--,--,1325,--,--,--,--,--,
Dayananda Sagar College of Engineering,CE Civil,STG,4147,,IE Info.Science,,--,--,--,59,--,--,--,--,--,--,--,--,122,--,--,46,171,134,560,--,2318,1416,--,--,
Dayananda Sagar College of Engineering,CS Computers,2AG,484,,IM Ind. Engg. Mgmt.,,--,--,--,6207G5,--,--,--,--,--,--,--,--,--,--,--,1409,--,13045,3909,--,--,--,--,--,
Dayananda Sagar College of Engineering,CS Computers,GM,439,,ME Mechanical,,402,--,--,346,--,--,--,--,--,292,--,--,--,--,--,192,--,541,362,5611,--,701,--,--,
Dayananda Sagar College of Engineering,CS Computers,SCG,1497,,SE Aero Space Engg.,,--,--,--,947,--,--,--,--,--,--,--,--,--,--,--,63,--,2113,172,--,--,--,--,--,
Dayananda Sagar College of Engineering,CS Computers,GMR,535,,6,E006,M S Ramaiah Institute of Technology,,Bangalore,,,,,,,,,,,,,,,,,,,,,,
Dayananda Sagar College of Engineering,CS Computers,SCR,1962,,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
Dayananda Sagar College of Engineering,CS Computers,STG,1930,,"AD Artificial Intel, Data",,--,--,--,513,--,--,1232,--,--,--,--,--,--,--,--,126,--,838,1704,--,--,--,--,--,
,,,,,Sc,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2024 - MOCK ALLOTMENT ROUND ( GENERAL ),,,,,,,,,,,,,,,,,,,,
,,,,,6,E006,M S Ramaiah Institute of Technology,,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
,,,,,AI Artificial Intelligence,,1274,--,--,--,--,--,--,--,--,536,--,--,--,--,--,337,488,--,--,--,--,--,--,--,
,,,,,BT Bio Technology,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7478,--,--,--,--,--,--,--,--,
,,,,,"CA CS (AI, Machine",,--,--,5725G5,600,--,--,542,--,--,--,--,--,440,--,--,235G55,875,--,1334,--,--,4735,--,--,
,,,,,Learning),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CE Civil,,--,--,--,428,--,--,--,--,--,--,--,--,--,--,--,381,--,649,1775,--,--,--,--,--,
,,,,,CH Chemical,,--,--,--,3165,--,--,--,--,--,--,--,--,--,--,--,1121,--,6441,8588,--,--,--,--,--,
,,,,,CS Computers,,436,--,--,121,--,--,149,--,--,--,--,--,117G55,--,--,88,161,143,282,--,1898,1284,--,--,
,,,,,CY CS- Cyber Security,,--,--,--,--,--,1074,--,--,--,--,--,--,--,--,--,453,--,--,1991,--,--,5233,--,--,
,,,,,EC Electronics,,--,--,--,200,--,--,--,--,--,305,--,--,281,--,--,178,--,--,203,--,1255,816,1068,--,
,,,,,EE Electrical,,--,--,--,420,--,--,--,--,7539,--,--,--,--,--,--,217,--,--,356,--,--,--,--,--,
,,,,,EI Elec. Inst. Engg,,--,--,--,1864,--,--,--,--,--,--,--,--,--,--,--,1562,--,--,2591,--,--,--,--,--,
,,,,,ET Elec. Telecommn. Engg.,,3048,--,--,1605,--,--,--,--,--,--,--,--,--,--,4125,1324,--,2135 5734G5,,--,--,--,--,--,
,,,,,IE Info.Science,,--,--,--,290,675,--,--,--,--,613,--,--,280,--,--,244,--,427,608,--,4619,2240,--,--,
,,,,,IM Ind. Engg. Mgmt.,,--,--,--,--,--,--,--,--,--,--,--,--,3826,--,--,2449,--,7190,12248,--,--,--,--,--,
,,,,,MD Med.Elect.,,--,--,--,14786,--,--,--,--,--,--,--,12155,--,--,--,7039,--,--,--,--,--,--,--,--,
,,,,,ME Mechanical,,--,--,--,719,--,--,1450,--,--,567,--,--,--,--,--,561,--,1474,2276,3936,--,1322,--,--,
